,date,aapl,googl
111,2013-07-19,89.46697477827459,114.16249255554308
112,2013-07-22,89.75332403889516,115.95806630597463
113,2013-07-23,88.21222562494287,115.07951226945717
114,2013-07-24,92.74282210975886,114.96492932567786
115,2013-07-25,92.31970902317026,113.0295358907412
116,2013-07-26,92.84392123111023,112.73030751935306
117,2013-07-29,94.2755201594006,112.33812042758977
118,2013-07-30,95.43978117787844,113.4395311664844
119,2013-07-31,95.27354238941729,113.0358959564483
120,2013-08-01,96.14644340365076,115.13298770192254
121,2013-08-02,97.38100220767468,115.4322160733107
122,2013-08-05,98.83573898152214,115.2323064880048
123,2013-08-06,97.95149010672883,114.15893091874712
124,2013-08-07,97.89460342911714,113.40513593114034
125,2013-08-08,97.058840867625,113.66106497519446
126,2013-08-09,95.67779150001031,113.37458217548337
127,2013-08-12,98.3956777915,112.75068516987862
