Binding Energy (eV),Counts
387.08,140274
386.58,142390
386.08,139906
385.58,142318
385.08,144852
384.58,145195
384.08,141905
383.58,143557
383.08,143638
382.58,144169
382.08,144130
381.58,143686
381.08,143035
380.58,143287
380.08,144435
379.58,144455
379.08,145707
378.58,144107
378.08,143017
377.58,143850
377.08,143152
376.58,143679
376.08,145925
375.58,145851
375.08,145148
374.58,146228
374.08,146085
373.58,144390
373.08,145610
372.58,148778
372.08,147705
371.58,146262
371.08,148510
370.58,146915
370.08,147723
369.58,148507
369.08,148220
368.58,147601
368.08,150825
367.58,153383
367.08,149312
366.58,147611
366.08,148802
365.58,148011
365.08,151531
364.58,146984
364.08,148265
363.58,148954
363.08,150937
362.58,148752
362.08,148389
361.58,152264
361.08,149132
360.58,150638
360.08,151770
359.58,150928
359.08,150495
358.58,150574
358.08,150982
357.58,151080
357.08,153624
356.58,150639
356.08,153937
355.58,151689
355.08,153301
354.58,153049
354.08,153424
353.58,152958
353.08,153195
352.58,156880
352.08,156372
351.58,158189
351.08,160441
350.58,161126
350.08,159308
349.58,156593
349.08,159133
348.58,160238
348.08,165911
347.58,167734
347.08,167367
346.58,160857
346.08,158920
345.58,154183
345.08,154713
344.58,153705
344.08,154696
343.58,154509
343.08,155109
342.58,156596
342.08,155917
341.58,158937
341.08,156075
340.58,153403
340.08,154644
339.58,158065
339.08,157453
338.58,155219
338.08,157439
337.58,155647
337.08,155598
336.58,156443
336.08,156657
335.58,157424
335.08,157535
334.58,159711
334.08,158220
333.58,161662
333.08,159316
332.58,159006
332.08,156317
331.58,160441
331.08,159368
330.58,159739
330.08,160980
329.58,160714
329.08,161496
328.58,161992
328.08,162125
327.58,161309
327.08,162616
326.58,162610
326.08,161888
325.58,161069
325.08,164060
324.58,163067
324.08,161204
323.58,163603
323.08,164164
322.58,165455
322.08,165467
321.58,164042
321.08,165238
320.58,166628
320.08,164994
319.58,165283
319.08,167601
318.58,168243
318.08,167699
317.58,166556
317.08,167770
316.58,168426
316.08,167466
315.58,166951
315.08,167299
314.58,166394
314.08,168119
313.58,171779
313.08,171169
312.58,167966
312.08,170033
311.58,169376
311.08,169817
310.58,170577
310.08,172360
309.58,170669
309.08,170913
308.58,171570
308.08,171246
307.58,170748
307.08,172319
306.58,173268
